Name,Latitude,Longitude,Rating,Categories,Keyword,State
Charkha Museum,28.6314073,77.2172054,4.2,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
ASI Children's Museum,28.552547,77.2151167,4.1,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Baba Baghel Singh Sikh Heritage Multimedia Museum,28.6259657,77.2091757,4.6,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Kiran Nadar Museum of Art,28.5364828,77.3434127,4.4,"museum, point_of_interest, establishment",museums,Delhi
Adi Jati Sangrahalaya,28.6439639,77.199466,4.1,"museum, point_of_interest, establishment",museums,Delhi
Purana Qila Museum,28.6083469,77.2428377,4.2,"museum, point_of_interest, establishment",museums,Delhi
Baba Nagpal Museum,28.5037322,77.1791811,4.2,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Urusvati Museum Of Folklore,28.3725862,76.97969189999999,4.2,"museum, point_of_interest, establishment",museums,Delhi
Rashtriya Dalit Smarak (Ambedkar Park),28.5678724,77.3113144,4.1,"tourist_attraction, museum, park, point_of_interest, establishment",museums,Delhi
Tibet House,28.5905646,77.2277144,4.3,"tourist_attraction, library, museum, point_of_interest, establishment",museums,Delhi
Government Freedom Struggle Museum,28.9871628,77.698713,4.4,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Mahatma Gandhi Museum,28.6382439,77.2503828,4.4,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Dr. Zakir Hussain Museum & Mausoleum,28.5615398,77.2833066,4.3,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Ghalib Museum,28.6348082,77.2348832,3.9,"museum, point_of_interest, establishment",museums,Delhi
Metro Museum,28.62361,77.2147341,4.2,"museum, point_of_interest, establishment",museums,Delhi
"Museum On 1857- India's First War Of Independence, New Delhi",28.6565568,77.24204259999999,4.6,"museum, point_of_interest, establishment",museums,Delhi
Khadi Museum,28.63181,77.216911,4.4,"museum, point_of_interest, establishment",museums,Delhi
Toya,28.5396658,77.1465791,3,"museum, point_of_interest, establishment",museums,Delhi
President House Museum Main Building,28.6191253,77.1971252,4.8,"museum, point_of_interest, establishment",museums,Delhi
JITSH,28.6169847,77.058065,3.9,"museum, point_of_interest, establishment",museums,Delhi
Walled City Museum,28.6568769,77.2183846,4.2,"museum, point_of_interest, establishment",museums,Delhi
Science Centre,28.4917356,77.23112940000001,4.4,"museum, point_of_interest, establishment",museums,Delhi
"Swatantrata Sangram Museum, New Delhi",28.6574262,77.2420671,4.5,"museum, point_of_interest, establishment",museums,Delhi
Nair Museum,28.5750148,77.2192407,5,"museum, point_of_interest, establishment",museums,Delhi
Dilli Chalo Museum,28.6872512,76.9809732,4.3,"museum, point_of_interest, establishment",museums,Delhi
Bhai Mati Das Museum,28.6564862,77.2324008,4.2,"museum, point_of_interest, establishment",museums,Delhi
Museum of Performing Arts,28.6242888,77.2308394,5,"museum, point_of_interest, establishment",museums,Delhi
UPSC MUSEUM BUILDING,28.6089263,77.22776929999999,4.7,"museum, point_of_interest, establishment",museums,Delhi
Pradhanmantri Sangrahalaya,28.6016294,77.1987213,4.7,"museum, point_of_interest, establishment",museums,Delhi
"Thakkar Bapa National Tribal Museum and Library, jhandewalan",28.643847,77.2000711,3.8,"museum, point_of_interest, establishment",museums,Delhi
Ladwal Art Gallery,28.5221684,77.17792829999999,3.5,"art_gallery, museum, point_of_interest, establishment",museums,Delhi
Azadi Ke Diwane,28.656508,77.24489299999999,4.6,"museum, point_of_interest, establishment",museums,Delhi
Ashoka Mission,28.5165625,77.18735939999999,4.5,"museum, point_of_interest, establishment",museums,Delhi
Kasturba Gandhi Museum (Kasturba Kutir),28.7066645,77.2067261,4.4,"museum, point_of_interest, establishment",museums,Delhi
