Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Tinnath temple,26.4463462,91.4572919,4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
Durga Temple,26.6132925,91.3295502,4.6,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,8
Hindu Temple,26.6046943,91.1829427,3.5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,2
बाथौ थानसालि (Bathwou Temple.Pub Rehabari(Chariali),26.6110426,91.21161939999999,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,3
Bathoupuri Bathou temple,26.5580642,91.0122741,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,2
Durga Temple,26.6674305,91.1012774,4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,6
Ganash Temple,26.5178796,91.1749798,4.4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,10
Shiva Temple,26.4342364,90.99038340000001,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,6
Krishna Temple,26.4653799,91.3879386,4.8,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,4
Shiv Temple Jyotinagar,26.5003166,91.18090029999999,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,3
Bajrangbali temple,26.506273,91.1768996,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
Garemari siva temple,26.6010604,91.1244792,4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
"Lord Shiva Mandir, Teparttary",26.4643881,91.1915791,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,2
Shiv temple,26.4366243,90.98414439999999,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,3
Bargacha Durga Puja Temple,26.4860103,91.39529689999999,4.6,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,14
Shiva temple,26.4668811,91.26869860000001,4.2,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,6
Pvt. Temple (মনো মহা),26.5143023,91.22551729999999,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
Shiv Mandir,26.6382151,91.22542779999999,4.8,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,5
HANUMAAN MANDIR,26.7921212,91.504061,4.6,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,15
HOWLY MAA MANASHA MANDIR,26.4975591,91.22937739999999,4.1,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,14
Zion Hill Prayer Centre,26.7876714,91.4954875,5,"place_of_worship, point_of_interest, establishment",hills,Assam,Winter,Baksa,6
Guagachha Railway Station,26.5007606,91.02367579999999,3.8,"point_of_interest, establishment",hills,Assam,Winter,Baksa,19
Nagzor(Black Hill),26.943218,91.51229,4,"lodging, point_of_interest, establishment",hills,Assam,Winter,Baksa,2
Hills and Hornbills travel services for North East India,26.4275467,91.4423582,4.9,"travel_agency, point_of_interest, establishment",hills,Assam,Winter,Baksa,19
Blue Hills Aqua,26.6295034,91.098048,0,"point_of_interest, establishment",hills,Assam,Winter,Baksa,0
Daragaon Picnic Spot,26.8071657,91.3904575,4.2,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,1252
Moina Pukhuri,26.7858153,91.3514629,4,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,88
Bhutan chowki,26.8389903,91.40727659999999,4,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,393
Manas watch tower,26.7030445,90.9983869,4.5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,18
Manas Chowki Eco Tourism Society,26.7957834,91.4144797,4.4,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,90
Rabindranath Tagore Statue,26.4953518,90.96706979999999,4.2,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,272
NATH PARA নাথপাৰা,26.4936199,91.31931759999999,4.4,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,8
Pagaldiya view point,26.5435185,91.52068109999999,4.7,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,3
Songkhri Hajw Picnic Spot Gate,26.7942337,91.44957400000001,4.1,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,10
Elephant Corridor-1,26.7811198,91.2471917,3,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,3
Daodhara Photography Spot,26.7526178,91.2230065,4.3,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,18
Chowki Picnic Spot,26.8320902,91.4095937,4.2,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,1546
Daragaon Picnic Spot Entry Gate,26.7944438,91.3910585,4.2,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,71
Manash Chowki Eco-tourism Picnic Gate,26.7906289,91.41598599999999,4.4,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,30
Welcome Gate Dihjari,26.471628,91.499893,3.3,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,4
কহুৱা ৰিজর্ট (এ ইউনিক এগ্রি টুৰিজিম অন দা ব্যাংক অভ পাগলাদিয়া ৰিভাৰ),26.4951952,91.4715296,4.2,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,94
DWIJIMA ELEPHANT CORRIDOR,26.7653806,91.2954573,3.8,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,9
Elephant Corridor-2,26.7882953,91.2527147,3.8,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,5
Deura Dong,26.6360838,91.339348,0,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,0
Godhuligoan photo shoot place,26.6640032,91.22729939999999,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,4
DELAISRI ECO-TOURISM,26.7950014,91.53861719999999,2.7,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,3
Rihabari Gate,26.6051179,91.21328520000002,4.3,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,14
Horotola Village,26.77572,91.49860699999999,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,2
Gasor TOL,26.551286,91.5102691,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,5
Photoshoot & Swimming spot,26.658481,91.02107470000001,4.8,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,5
Law Gaon Bridge picnic spot,26.6003328,91.1405296,4,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,2
Manas National Park,26.670434,91.0409123,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,2
Mini grassland,26.7709658,91.53896069999999,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,5
DWIJIMA PICNIC SPOT,26.756546,91.2943861,3.8,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,56
Songkhri Hajw Picnic Spot,26.8117326,91.4231385,4,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,7
Manas National Park,26.8101743,91.2394832,4.3,"tourist_attraction, park, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,9328
Bamunpara Tiniali,26.6385775,91.3285635,0,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,0
Way to Sathisamuka,26.6375888,91.34304879999999,0,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,0
Palha Tol,26.6368741,91.3291888,0,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,0
Gramdhut,26.8603531,91.0897511,0,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,0
Alagjar Siva Temple,26.5466285,91.3787128,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,1
Swiss get,26.6876799,91.30595989999999,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,2
Amarabati Village Pond,26.6673175,91.37525169999999,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,2
Manas Daragaon Eco Tourism Society,26.8061829,91.3909671,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,5
Chowki Gate of Pagladia River,26.8317931,91.4111266,3.7,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,7
Laogaon Gate Photoshoot,26.60076,91.14036399999999,4.1,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,26
Manas National Park Main Gate,26.6593347,91.00108929999999,4.4,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,108
Grassland 0.1,26.7096844,91.14347,0,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,0
Manas national park,26.6600079,91.0010447,4.4,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,24
আমাৰ ঘৰ (Our Home),26.5090047,90.9685069,4.5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,4
Rinchenzor village,26.8548401,91.0999662,0,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,0
"দঙৰ গেট, দক্ষিণ ৰিহাবাৰী",26.5994832,91.1988841,5,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,2
Grassland Pagla Dwima(Pub barsiral),26.5464881,91.5289892,4.3,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,13
Nalbari Main Gate,26.461317,91.450768,4.6,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,34
Nikashi,26.7313905,91.37889170000001,0,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,0
Dungsamchu old bridge,26.7959817,91.50390329999999,0,"tourist_attraction, point_of_interest, establishment",attraction,Assam,All Seasons,Baksa,0
